MHTCET Score,12th Score,Category,Branch,College Name,Location,College_Status
95.69,89.76,OBC,Computer Science and Engineering,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Government Autonomus
55.71,45.46,PWD,Computer Science and Engineering,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Government Autonomus
97.63,93.33,TFWS,Computer Science and Engineering,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Government Autonomus
95.69,91.33,Open,Computer Science and Engineering,Nagpur Government College of Engineering,Nagpur,Government Autonomus
95.69,89.45,EWS,Computer Science and Engineering,Nagpur Government College of Engineering,Nagpur,Government Autonomus
93.6,88.12,SC,Computer Science and Engineering,Nagpur Government College of Engineering,Nagpur,Government Autonomus
88.07,79.56,ST,Computer Science and Engineering,Nagpur Government College of Engineering,Nagpur,Government Autonomus
69.77,67.0,VJ,Computer Science and Engineering,Nagpur Government College of Engineering,Nagpur,Government Autonomus
93.45,83.23,NT1,Computer Science and Engineering,Nagpur Government College of Engineering,Nagpur,Government Autonomus
94.07,93.21,NT2,Computer Science and Engineering,Nagpur Government College of Engineering,Nagpur,Government Autonomus
88.46,75.43,NT3,Computer Science and Engineering,Nagpur Government College of Engineering,Nagpur,Government Autonomus
95.27,88.65,OBC,Computer Science and Engineering,Nagpur Government College of Engineering,Nagpur,Government Autonomus
68.93,65.44,PWD,Computer Science and Engineering,Nagpur Government College of Engineering,Nagpur,Government Autonomus
97.89,90.11,TFWS,Computer Science and Engineering,Nagpur Government College of Engineering,Nagpur,Government Autonomus
97.36,93.45,Open,Computer Science and Engineering,Amravati Government College of Engineering,Amravati,Government Autonomus
95.97,76.88,EWS,Computer Science and Engineering,Amravati Government College of Engineering,Amravati,Government Autonomus
94.04,82.35,SC,Computer Science and Engineering,Amravati Government College of Engineering,Amravati,Government Autonomus
82.31,69.45,ST,Computer Science and Engineering,Amravati Government College of Engineering,Amravati,Government Autonomus
95.94,84.55,VJ,Computer Science and Engineering,Amravati Government College of Engineering,Amravati,Government Autonomus
94.68,90.12,NT1,Computer Science and Engineering,Amravati Government College of Engineering,Amravati,Government Autonomus
96.03,93.21,NT2,Computer Science and Engineering,Amravati Government College of Engineering,Amravati,Government Autonomus
93.82,83.79,NT3,Computer Science and Engineering,Amravati Government College of Engineering,Amravati,Government Autonomus
97.04,91.22,OBC,Computer Science and Engineering,Amravati Government College of Engineering,Amravati,Government Autonomus
80.86,73.33,PWD,Computer Science and Engineering,Amravati Government College of Engineering,Amravati,Government Autonomus
97.37,84.55,TFWS,Computer Science and Engineering,Amravati Government College of Engineering,Amravati,Government Autonomus
87.21,85.56,Open,Computer Science and Engineering,Yavatmal Government College of Engineering,Yavatmal,Government Autonomus
88.66,82.21,EWS,Computer Science and Engineering,Yavatmal Government College of Engineering,Yavatmal,Government Autonomus
80.73,76.32,SC,Computer Science and Engineering,Yavatmal Government College of Engineering,Yavatmal,Government Autonomus
68.93,67.0,ST,Computer Science and Engineering,Yavatmal Government College of Engineering,Yavatmal,Government Autonomus
87.07,85.66,VJ,Computer Science and Engineering,Yavatmal Government College of Engineering,Yavatmal,Government Autonomus
86.69,78.2,NT1,Computer Science and Engineering,Yavatmal Government College of Engineering,Yavatmal,Government Autonomus
83.0,71.0,NT2,Computer Science and Engineering,Yavatmal Government College of Engineering,Yavatmal,Government Autonomus
61.43,65.77,NT3,Computer Science and Engineering,Yavatmal Government College of Engineering,Yavatmal,Government Autonomus
86.37,84.9,OBC,Computer Science and Engineering,Yavatmal Government College of Engineering,Yavatmal,Government Autonomus
41.09,56.89,PWD,Computer Science and Engineering,Yavatmal Government College of Engineering,Yavatmal,Government Autonomus
92.66,90.0,TFWS,Computer Science and Engineering,Yavatmal Government College of Engineering,Yavatmal,Government Autonomus
95.65,94.55,Open,Computer Science and Engineering,Avsari Khurd Government College of Engineering,"Avsari Khurd,Pune",Government Autonomus
96.06,91.22,EWS,Computer Science and Engineering,Avsari Khurd Government College of Engineering,"Avsari Khurd,Pune",Government Autonomus
88.99,85.66,SC,Computer Science and Engineering,Avsari Khurd Government College of Engineering,"Avsari Khurd,Pune",Government Autonomus
81.03,75.55,ST,Computer Science and Engineering,Avsari Khurd Government College of Engineering,"Avsari Khurd,Pune",Government Autonomus
84.51,80.34,VJ,Computer Science and Engineering,Avsari Khurd Government College of Engineering,"Avsari Khurd,Pune",Government Autonomus
91.48,78.43,NT1,Computer Science and Engineering,Avsari Khurd Government College of Engineering,"Avsari Khurd,Pune",Government Autonomus
94.03,92.35,NT2,Computer Science and Engineering,Avsari Khurd Government College of Engineering,"Avsari Khurd,Pune",Government Autonomus
95.44,94.32,NT3,Computer Science and Engineering,Avsari Khurd Government College of Engineering,"Avsari Khurd,Pune",Government Autonomus
94.68,89.53,OBC,Computer Science and Engineering,Avsari Khurd Government College of Engineering,"Avsari Khurd,Pune",Government Autonomus
83.34,75.76,PWD,Computer Science and Engineering,Avsari Khurd Government College of Engineering,"Avsari Khurd,Pune",Government Autonomus
97.96,95.0,TFWS,Computer Science and Engineering,Avsari Khurd Government College of Engineering,"Avsari Khurd,Pune",Government Autonomus
86.84,83.3,Open,Computer Science and Engineering,Chandrapur Government College of Engineering,Chandrapur,Government Autonomus
87.93,84.32,EWS,Computer Science and Engineering,Chandrapur Government College of Engineering,Chandrapur,Government Autonomus
81.85,75.41,SC,Computer Science and Engineering,Chandrapur Government College of Engineering,Chandrapur,Government Autonomus
71.35,63.67,ST,Computer Science and Engineering,Chandrapur Government College of Engineering,Chandrapur,Government Autonomus
32.66,74.0,VJ,Computer Science and Engineering,Chandrapur Government College of Engineering,Chandrapur,Government Autonomus
76.28,67.88,NT1,Computer Science and Engineering,Chandrapur Government College of Engineering,Chandrapur,Government Autonomus
77.88,73.45,NT2,Computer Science and Engineering,Chandrapur Government College of Engineering,Chandrapur,Government Autonomus
57.72,59.85,NT3,Computer Science and Engineering,Chandrapur Government College of Engineering,Chandrapur,Government Autonomus
83.56,81.78,OBC,Computer Science and Engineering,Chandrapur Government College of Engineering,Chandrapur,Government Autonomus
63.38,61.22,PWD,Computer Science and Engineering,Chandrapur Government College of Engineering,Chandrapur,Government Autonomus
92.57,91.45,TFWS,Computer Science and Engineering,Chandrapur Government College of Engineering,Chandrapur,Government Autonomus
99.67,96.93,Open,Computer Science and Engineering,"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Private Autonomus
99.55,97.12,EWS,Computer Science and Engineering,"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Private Autonomus
97.75,93.44,SC,Computer Science and Engineering,"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Private Autonomus
92.77,86.9,ST,Computer Science and Engineering,"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Private Autonomus
97.84,94.67,VJ,Computer Science and Engineering,"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Private Autonomus
99.01,85.89,NT1,Computer Science and Engineering,"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Private Autonomus
99.45,93.6,NT2,Computer Science and Engineering,"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Private Autonomus
99.57,92.22,NT3,Computer Science and Engineering,"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Private Autonomus
99.55,95.61,OBC,Computer Science and Engineering,"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Private Autonomus
94.29,90.12,PWD,Computer Science and Engineering,"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Private Autonomus
99.73,98.0,TFWS,Computer Science and Engineering,"Pune Institute of Computer Technology, Dhankavdi, Pune",Pune,Private Autonomus
97.33,91.22,Open,Computer Science and Engineering,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Akurdi,Pune",Private Autonomus
97.25,96.77,EWS,Computer Science and Engineering,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Akurdi,Pune",Private Autonomus
92.11,86.54,SC,Computer Science and Engineering,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Akurdi,Pune",Private Autonomus
74.46,72.22,ST,Computer Science and Engineering,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Akurdi,Pune",Private Autonomus
92.67,85.9,VJ,Computer Science and Engineering,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Akurdi,Pune",Private Autonomus
96.27,82.45,NT1,Computer Science and Engineering,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Akurdi,Pune",Private Autonomus
97.17,90.33,NT2,Computer Science and Engineering,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Akurdi,Pune",Private Autonomus
92.67,83.45,NT3,Computer Science and Engineering,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Akurdi,Pune",Private Autonomus
97.0,95.6,OBC,Computer Science and Engineering,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Akurdi,Pune",Private Autonomus
45.64,56.0,PWD,Computer Science and Engineering,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Akurdi,Pune",Private Autonomus
98.18,93.21,TFWS,Computer Science and Engineering,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune","Akurdi,Pune",Private Autonomus
99.23,92.45,Open,Computer Science and Engineering,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi,Pune","Bibwewadi,Pune",Private Autonomus
97.77,96.0,EWS,Computer Science and Engineering,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi,Pune","Bibwewadi,Pune",Private Autonomus
97.12,90.24,SC,Computer Science and Engineering,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi,Pune","Bibwewadi,Pune",Private Autonomus
88.28,85.07,ST,Computer Science and Engineering,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi,Pune","Bibwewadi,Pune",Private Autonomus
98.85,94.5,VJ,Computer Science and Engineering,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi,Pune","Bibwewadi,Pune",Private Autonomus
98.19,87.12,NT1,Computer Science and Engineering,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi,Pune","Bibwewadi,Pune",Private Autonomus
99.12,98.42,NT2,Computer Science and Engineering,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi,Pune","Bibwewadi,Pune",Private Autonomus
98.95,94.44,NT3,Computer Science and Engineering,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi,Pune","Bibwewadi,Pune",Private Autonomus
99.12,96.77,OBC,Computer Science and Engineering,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi,Pune","Bibwewadi,Pune",Private Autonomus
93.38,88.19,PWD,Computer Science and Engineering,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi,Pune","Bibwewadi,Pune",Private Autonomus
99.14,97.89,TFWS,Computer Science and Engineering,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi,Pune","Bibwewadi,Pune",Private Autonomus
83.17,80.0,Open,Computer Science and Engineering,"NKOCET, Solapur",Solapur,Private Autonomus
80.04,79.31,EWS,Computer Science and Engineering,"NKOCET, Solapur",Solapur,Private Autonomus
69.59,63.22,SC,Computer Science and Engineering,"NKOCET, Solapur",Solapur,Private Autonomus
76.04,74.44,VJ,Computer Science and Engineering,"NKOCET, Solapur",Solapur,Private Autonomus
73.64,69.21,NT1,Computer Science and Engineering,"NKOCET, Solapur",Solapur,Private Autonomus
78.4,76.9,NT2,Computer Science and Engineering,"NKOCET, Solapur",Solapur,Private Autonomus
79.26,77.34,OBC,Computer Science and Engineering,"NKOCET, Solapur",Solapur,Private Autonomus
89.23,84.44,TFWS,Computer Science and Engineering,"NKOCET, Solapur",Solapur,Private Autonomus
90.8,88.44,Open,Computer Science and Engineering,"WIT,Solapur",Solapur,Private Autonomus
95.97,93.22,TFWS,Computer Science and Engineering,"WIT,Solapur",Solapur,Private Autonomus
94.88,86.41,Open,Computer Science and Engineering,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Private Autonomus
96.34,93.21,EWS,Computer Science and Engineering,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Private Autonomus
86.69,83.0,SC,Computer Science and Engineering,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Private Autonomus
18.44,76.32,ST,Computer Science and Engineering,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Private Autonomus
84.46,80.23,VJ,Computer Science and Engineering,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Private Autonomus
93.68,92.0,NT1,Computer Science and Engineering,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Private Autonomus
92.83,85.63,NT2,Computer Science and Engineering,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Private Autonomus
90.59,82.46,NT3,Computer Science and Engineering,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Private Autonomus
93.43,87.32,OBC,Computer Science and Engineering,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Private Autonomus
19.1,73.0,PWD,Computer Science and Engineering,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Private Autonomus
97.36,95.89,TFWS,Computer Science and Engineering,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Kolhapur,Private Autonomus
98.89,95.55,Open,Computer Science and Engineering,"Pimpri Chinchwad College of Engineering, Pune","Pimpri Chincwad,Pune",Private Autonomus
98.27,96.78,EWS,Computer Science and Engineering,"Pimpri Chinchwad College of Engineering, Pune","Pimpri Chincwad,Pune",Private Autonomus
96.71,94.32,SC,Computer Science and Engineering,"Pimpri Chinchwad College of Engineering, Pune","Pimpri Chincwad,Pune",Private Autonomus
85.34,82.34,ST,Computer Science and Engineering,"Pimpri Chinchwad College of Engineering, Pune","Pimpri Chincwad,Pune",Private Autonomus
97.63,93.59,VJ,Computer Science and Engineering,"Pimpri Chinchwad College of Engineering, Pune","Pimpri Chincwad,Pune",Private Autonomus
97.89,96.11,NT1,Computer Science and Engineering,"Pimpri Chinchwad College of Engineering, Pune","Pimpri Chincwad,Pune",Private Autonomus
98.71,91.43,NT2,Computer Science and Engineering,"Pimpri Chinchwad College of Engineering, Pune","Pimpri Chincwad,Pune",Private Autonomus
98.49,96.66,NT3,Computer Science and Engineering,"Pimpri Chinchwad College of Engineering, Pune","Pimpri Chincwad,Pune",Private Autonomus
98.76,96.54,OBC,Computer Science and Engineering,"Pimpri Chinchwad College of Engineering, Pune","Pimpri Chincwad,Pune",Private Autonomus
90.12,87.43,PWD,Computer Science and Engineering,"Pimpri Chinchwad College of Engineering, Pune","Pimpri Chincwad,Pune",Private Autonomus
97.77,97.6,TFWS,Computer Science and Engineering,"Pimpri Chinchwad College of Engineering, Pune","Pimpri Chincwad,Pune",Private Autonomus
94.39,91.23,Open,Computer Science and Engineering,"Sinhgad College of Engineering, Vadgaon (BK), Pune","Vadgaon (BK), Pune",Unaided
95.15,90.0,EWS,Computer Science and Engineering,"Sinhgad College of Engineering, Vadgaon (BK), Pune","Vadgaon (BK), Pune",Unaided
86.16,77.0,SC,Computer Science and Engineering,"Sinhgad College of Engineering, Vadgaon (BK), Pune","Vadgaon (BK), Pune",Unaided
55.29,65.43,ST,Computer Science and Engineering,"Sinhgad College of Engineering, Vadgaon (BK), Pune","Vadgaon (BK), Pune",Unaided
82.44,76.12,VJ,Computer Science and Engineering,"Sinhgad College of Engineering, Vadgaon (BK), Pune","Vadgaon (BK), Pune",Unaided
91.25,81.32,NT1,Computer Science and Engineering,"Sinhgad College of Engineering, Vadgaon (BK), Pune","Vadgaon (BK), Pune",Unaided
93.53,86.54,NT2,Computer Science and Engineering,"Sinhgad College of Engineering, Vadgaon (BK), Pune","Vadgaon (BK), Pune",Unaided
94.38,92.23,NT3,Computer Science and Engineering,"Sinhgad College of Engineering, Vadgaon (BK), Pune","Vadgaon (BK), Pune",Unaided
93.38,90.87,OBC,Computer Science and Engineering,"Sinhgad College of Engineering, Vadgaon (BK), Pune","Vadgaon (BK), Pune",Unaided
29.41,76.33,PWD,Computer Science and Engineering,"Sinhgad College of Engineering, Vadgaon (BK), Pune","Vadgaon (BK), Pune",Unaided
96.49,88.34,TFWS,Computer Science and Engineering,"Sinhgad College of Engineering, Vadgaon (BK), Pune","Vadgaon (BK), Pune",Unaided
67.71,64.34,Open,Computer Science and Engineering,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur",Solapur,Unaided
69.21,66.54,EWS,Computer Science and Engineering,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur",Solapur,Unaided
63.69,65.67,SC,Computer Science and Engineering,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur",Solapur,Unaided
42.29,55.9,VJ,Computer Science and Engineering,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur",Solapur,Unaided
30.58,44.55,NT1,Computer Science and Engineering,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur",Solapur,Unaided
65.03,63.45,NT2,Computer Science and Engineering,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur",Solapur,Unaided
58.71,55.32,OBC,Computer Science and Engineering,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur",Solapur,Unaided
82.25,80.11,TFWS,Computer Science and Engineering,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur",Solapur,Unaided
71.66,65.88,Open,Computer Science and Engineering,"Terna Public Charitable Trust's College of Engineering, Dharashiv",Dharashiv,Unaided
77.79,74.33,EWS,Computer Science and Engineering,"Terna Public Charitable Trust's College of Engineering, Dharashiv",Dharashiv,Unaided
49.22,54.34,SC,Computer Science and Engineering,"Terna Public Charitable Trust's College of Engineering, Dharashiv",Dharashiv,Unaided
59.92,50.11,NT2,Computer Science and Engineering,"Terna Public Charitable Trust's College of Engineering, Dharashiv",Dharashiv,Unaided
62.73,61.23,OBC,Computer Science and Engineering,"Terna Public Charitable Trust's College of Engineering, Dharashiv",Dharashiv,Unaided
12.69,54.46,PWD,Computer Science and Engineering,"Terna Public Charitable Trust's College of Engineering, Dharashiv",Dharashiv,Unaided
88.14,80.23,TFWS,Computer Science and Engineering,"Terna Public Charitable Trust's College of Engineering, Dharashiv",Dharashiv,Unaided
38.45,67.54,Open,Computer Science and Engineering,"Shree Tuljabhavani College of Engineering, Tuljapur",Tuljapur,Unaided
58.71,70.0,EWS,Computer Science and Engineering,"Shree Tuljabhavani College of Engineering, Tuljapur",Tuljapur,Unaided
7.56,56.66,SC,Computer Science and Engineering,"Shree Tuljabhavani College of Engineering, Tuljapur",Tuljapur,Unaided
30.59,58.9,VJ,Computer Science and Engineering,"Shree Tuljabhavani College of Engineering, Tuljapur",Tuljapur,Unaided
11.29,54.18,NT2,Computer Science and Engineering,"Shree Tuljabhavani College of Engineering, Tuljapur",Tuljapur,Unaided
21.71,47.86,NT3,Computer Science and Engineering,"Shree Tuljabhavani College of Engineering, Tuljapur",Tuljapur,Unaided
21.53,50.45,OBC,Computer Science and Engineering,"Shree Tuljabhavani College of Engineering, Tuljapur",Tuljapur,Unaided
13.13,54.32,PWD,Computer Science and Engineering,"Shree Tuljabhavani College of Engineering, Tuljapur",Tuljapur,Unaided
69.03,67.0,TFWS,Computer Science and Engineering,"Shree Tuljabhavani College of Engineering, Tuljapur",Tuljapur,Unaided
99.83,96.66,Open,ENTC Engineering,COEP Pune,Pune,Government Autonomus
98.84,93.3,EWS,ENTC Engineering,COEP Pune,Pune,Government Autonomus
98.5,90.01,SC,ENTC Engineering,COEP Pune,Pune,Government Autonomus
95.39,92.34,ST,ENTC Engineering,COEP Pune,Pune,Government Autonomus
95.27,99.45,VJ,ENTC Engineering,COEP Pune,Pune,Government Autonomus
99.51,99.23,NT1,ENTC Engineering,COEP Pune,Pune,Government Autonomus
99.7,94.44,NT2,ENTC Engineering,COEP Pune,Pune,Government Autonomus
99.57,92.33,NT3,ENTC Engineering,COEP Pune,Pune,Government Autonomus
99.73,96.67,OBC,ENTC Engineering,COEP Pune,Pune,Government Autonomus
